用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
394864438,degenerate,1,难评，满信号满网络清完后台没开小窗，还要干啥,2,2025-04-05 15:47,Huawei Nova 10
444238626,爱吃小龙虾,5,这段时间忍者做的太敷衍,,2025-04-05 15:44,未提供
648019189,星野厨,1,忘本？有点意思,,2025-04-05 15:27,vivo X27
37005346,wyu_REN,1,逆天魔方，白绝洗地，,,2025-04-05 15:26,红米 K70
53953617,仙布着急,1,策划都跑到隔壁了这游戏真是没救了😅,,2025-04-05 14:57,未提供
7288608,黎博利,1,模拟器玩家，前前后后玩了三年多，刚回坑发生这种事，太心寒了,,2025-04-05 14:53,未提供
32072217,爱止痛,1,小作坊赶紧关服,1,2025-04-05 14:47,Vivo IQOO Neo9S Pro
517606827,FLY,1,我只能说，这就是构石 十周年一波大的跑路,,2025-04-05 14:40,未提供
497995186,嗯嗯,1,这个卡顿问题真的是不想喷了，太lj了。好好的网就是要卡一下，就不能更新下这玩意，这么久的游戏了，不是心跳就是加载，逆天啊,,2025-04-05 14:29,Vivo IQOO 12
426930972,淘气包,1,气死我了玩啥买啥削啥老9门里面我有8个还有那个土豆服务器单点两下方向键直接飞到别人脸上超影晋级赛给我卡没了卡没就算了连卡三四把而且连我的声音都卡没了,3,2025-03-18 18:45,红米K70E
390357197,空白,1,你说的对，但魔方是一个敷衍玩家的工作室。,1,2025-04-05 13:35,Vivo S19
460142946,爆炸--艺ポ,5,别看了，没有好评，想入坑快跑,2,2025-04-05 13:23,Redmi K60
425468119,嗯哼~,1,使劲夸就行了,1,2023-11-24 22:36,Redmi  K70 Pro
112291713,水门,1,服务器就他妈不能优化一下跟什么一样我都被搞得红了好多次了,1,2025-04-05 13:20,Vivo V2353A
553125581,housen,1,策划:跑路了兄弟们十周年跑路,2,2025-04-05 13:03,未提供
700018082,。。。,1,蛤蟆画饼，不多说了，人机策划，入机服务器,2,2025-04-05 12:46,未提供
681730096,算命先生,1,就这次事件送个1星,2,2025-04-05 12:45,未提供
350602052,国服最后的渣男,1,忍界大战从未结束，开票，开纸质发票，让魔方把诚意拿出来，,2,2025-04-05 12:31,Vivo IQOO 13
60349858,相信后人智慧,1,不推荐，不如去玩航海王：壮志雄心。,,2025-04-05 12:11,小米Xiaomi 14
631903062,001,1,背刺玩家有点意思,,2025-04-05 11:47,未提供
352724319,Shmily,1,大家都是可笑的白绝，早晚死在奢靡的海洋之中,,2025-04-05 11:34,RealmeGT Neo5
413037957,海姆,2,曾经默默的守护存子，火影被侮辱的时候我会站出来反驳，当奖励减少的时候我会理解。我为了火影放弃了那些热门的游戏，直到渐渐的离开了热闹的人群，但毫无怨言。新高招我会抽，新直购我会攒生活费，忍法帖会给它打四个月的工，一切都是因为热爱。但，策划所谓的特别“直播”也都是早已安排好的，从头到尾没有听到一句道歉，诚意早已没了。<br />玩家们开启第七次忍界大战不是为了所谓的奖励，是为了让hmg发自内心的向我们道歉，而不是一味的画饼糊弄玩家，号早已经融了，希望能助力一下忍界大战😔,3,2025-04-05 11:26,WIKO LGN-AN00
422395281,土块,1,魔方不道歉    忍界大战不会停,1,2025-04-05 11:12,一加手机Ace 5
96832258,良爷,1,魔方道歉，大家要的不是什么免费金币忍者，要的只是你态度，忍者做的不好就优化？说明你该道歉，那些承诺希望不是画大饼，你再不公开道歉，火影就凉了，我不希望看到这样的结果！😅,,2025-04-05 11:09,红米 K70
352131940,九月凌霄,1,真正的心寒不是大吵大闹<br />而是沉默不语<br />我的话你无动于衷<br />你的事我不再过问<br />魔方冷处理玩家，我也不想再管这个游戏的一分一毫，卸了，已退游。,,2025-04-05 11:03,Vivo Pad3 Pro
59268213,啊！斯古一哟！尼桑！,1,就这玩意😅😅😅😅😅😅😅😅😅😅<br />一万金币老手用不上新手拿不到😅再送个破烂泉奈什么散兵😅😅😅😅😅😅重要的东西就是避重就轻纯散兵哈密瓜<br />💥连招多样性：<br />🤦🏻上手难度：散兵😅<br />🥊打击感：散兵😅<br />⚖️平衡性：散兵😅<br />🎮可玩性：散兵😅<br />🌃画面音乐：散兵😅<br />🔖运营服务：散兵😅<br />✍🏻建议：散兵😅<br />你最好画的那些饼到时间就改不改你游还是感觉糸了吧😅😅😅,,2025-04-05 11:00,Vivo IQOO Neo6 SE
4166586,Mr.叶,1,不想运营了可以关服没必要来恶心玩家,2,2025-04-05 10:59,小米24122RKC7C
111569367,子不语,1,还是拉链拉高帅一点,4,2025-04-05 10:57,Vivo IQOO 12
460183165,鹅鹅鹅,1,高招宁次的时候开始玩，魔方的态度令人心寒，希望不要装死，认真改正吧,1,2025-04-05 10:56,未提供
506522430,历,1,1.策划说满嘴跑火车<br />2.只会画大饼没一点实用的<br />3.土豆服务器也不修,,2025-04-05 10:56,未提供
5454708,无法开花的秘密,1,😁提醒一下新鲜尿液，火影的营收都拿去投其他项目了，火影就是粗制滥造，服务器升级，bug不修，打个小队突袭日常卡住看结算画面，决斗场漂移错位等等等等存在许多问题！！最后策划会说:我更喜欢航海王😎,,2025-04-05 10:55,Redmi K70 Ultra
72878839,手机用户72878839,3,只希望给玩家一个正面的答复。,,2025-04-05 10:47,Vivo IQOO Z9 Turbo
20777119,＇流年,1,失望，连道歉都没有😓,2,2024-11-01 15:37,未提供
567043519,昏睡冰拿铁,1,十周年，心寒的很啊,,2025-04-05 10:37,Xiaomi Redmi K60 Ultra
66389054,正在缓冲99%,1,懒得喷，累了，不想玩了,1,2025-04-05 10:23,Vivo X90s
49269966,qpqpal,1,忍战还没结束,1,2025-04-05 10:09,未提供
330194897,黄皮耗子,1,比起沟槽的福利，真正的火影玩家想要的只是一个回答,1,2025-04-05 09:44,未提供
21054295,废可乐下的新芽,1,⚖️平衡性：<br />差差差差差差，新人进来最好爆肝一年抽角色，补通灵，补秘卷等级再进决斗场。,1,2025-04-05 09:44,iQOO Neo 5
109962425,死神,1,只在情报会上看到了画饼，我非常的失望,1,2025-04-05 09:36,未提供
438588894,不可救药的国王,1,美工还不错，但最近的运营不敢恭维，可能要凉，打个最低，美工再怎么好，运营烂只能气死自己，服务器不稳定，经常瞬移,1,2025-04-05 09:36,一加 Ace 2 pro
70561850,野尘,1,手机里有一款角色设计、玩家福利和策划重视程度比同类项目差了不是一星半点的游戏，那这辈子不就有了吗😆,1,2025-04-05 09:27,Xiaomi Redmi K60 Ultra
423571347,朱雀芙蓉,1,虽然，很不相对自己曾经喜欢的游戏大打出手，同样的，在这里说话蛤蟆床也不一定能看到，实在不行，你们看一下最近的负向评论吧，全部都是那一场“忍战”，全部都是那床哥的一句话“更看好海贼”,1,2025-04-05 09:24,未提供
443381350,贴纸,2,不玩战力，有点心疼玩战力的玩家，目前策划操作摆明了把战力玩家当提款机了。掏大价钱还要忍着策划的操作……真的有人不寒心吗？<br />二星鼓励一下捏,,2025-04-04 23:20,vivo Y200i
